post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
49660576,Global Glacier Extinction Explorer,science,158,64,guillego,2026-09-14 06:05:34.100961+00:00,0.4025157232704403,True
49679717,MacFileSizing – What is consuming my disk space?,science,8,2,jaccon,2026-09-14 06:05:35.536045+00:00,0.2222222222222222,False
49672557,"Europe's ""Less"" Is Doing More Than Anyone Gives It Credit For",worldnews,107,60,u1hcw9nx,2026-09-14 06:05:39.224559+00:00,0.5555555555555556,False
49628429,Planet Labs' open satellite feed,science,188,34,marklit,2026-09-14 06:05:42.396269+00:00,0.17989417989417988,True
49685679,US Military tests quantum sensors for flight navigation without GPS over Pacific,worldnews,9,1,marklit,2026-09-14 06:05:47.721448+00:00,0.1,False
49623398,Show HN: Compute polynomials twice as fast,entertainment,139,42,thomasahle,2026-09-14 06:05:54.111469+00:00,0.3,True
49647134,Music Theory for the 21st-Century Classroom,entertainment,302,146,aanet,2026-09-14 06:05:54.889040+00:00,0.48184818481848185,True
49683844,"Mars astronauts could live in houses made of yeast and jello, say scientists",science,12,6,Bender,2026-09-14 06:05:59.183334+00:00,0.46153846153846156,False
49633534,Factoring RSA 260,entertainment,132,18,samyok,2026-09-14 06:06:00.013390+00:00,0.13533834586466165,True
49667375,Starlink Signal Leakage Threatens Radio Astronomy's Most Critical Frequencies,science,143,86,upofadown,2026-09-14 06:06:03.798912+00:00,0.5972222222222222,True
49658302,"Re-Engineering YouTube for the Living Room: Bringing ""Chrobalt"" to RDK",entertainment,37,12,losgehts,2026-09-14 06:06:09.439858+00:00,0.3157894736842105,False
49611251,AlphaGenome Atlas: a high-resolution map of human DNA,science,604,133,utiiiD,2026-09-14 06:06:10.146935+00:00,0.21983471074380165,True
49677916,Japan's book scene is quietly moving from bookstores to libraries,entertainment,31,1,herbertl,2026-09-14 06:06:13.630091+00:00,0.03125,False
49630125,"Show HN: DOOM in the kernel, or fibers in eBPF",entertainment,53,14,ayles,2026-09-14 06:06:20.394425+00:00,0.25925925925925924,False
49644647,The Four-Color Theorem Gets a Rare New Proof,science,58,12,pavel_lishin,2026-09-14 06:06:29.091738+00:00,0.2033898305084746,False
49627634,Hitachi launches CO2 heat pump water heaters with solar-friendly tariff controls,worldnews,321,292,thelastgallon,2026-09-14 06:06:31.238835+00:00,0.906832298136646,True
49677391,Financial Times' 404 Page not Found,worldnews,79,13,sans_souse,2026-09-14 06:06:34.110656+00:00,0.1625,False
49620760,Testing race conditions with mem access tracing and stack-based delay injection,sports,19,1,mfrw,2026-09-14 06:06:58.274918+00:00,0.05,False
49610641,AlphaGenome Atlas predictive map of every DNA letter change in the human genome,science,91,13,fady0,2026-09-14 06:06:59.709363+00:00,0.14130434782608695,False
49645826,Casablanca: How an unproduced play marched into movie history,worldnews,53,19,mdp2021,2026-09-14 06:07:01.348086+00:00,0.35185185185185186,False
49618050,"A Topological Picture Book, Rendered",entertainment,146,16,mathgenius,2026-09-14 06:07:03.597976+00:00,0.10884353741496598,True
49611230,ZX Spectrum: Experimenting with 1-Bit Sound,worldnews,108,37,ibobev,2026-09-14 06:07:07.803364+00:00,0.3394495412844037,False
49635384,Blizzard Workers Win Historic Union Contract,worldnews,251,110,dbg31415,2026-09-14 06:07:09.743732+00:00,0.4365079365079365,True
49681346,"Deepfakes are wrecking influencers' credibility, one fake ad at a time",sports,10,2,andsoitis,2026-09-14 06:07:20.084858+00:00,0.18181818181818182,False
49653328,Exercise intensity is associated with cardiometabolic health,science,139,73,qclibre22,2026-09-14 06:07:29.300272+00:00,0.5214285714285715,True
49637544,Experimental Evaluation Methodology for the Era of No Steady Performance [pdf],science,6,1,luu,2026-09-14 06:07:30.938723+00:00,0.14285714285714285,False
49616257,"Kimi K3 (2.8T) at 1 token/s on a MacBook Pro, streamed from four SSDs",entertainment,277,155,Argonautlabs,2026-09-14 06:07:31.758626+00:00,0.5575539568345323,True
49678918,Scientists Create a New Form of Ice at More Than 2000°C,science,20,7,jnord,2026-09-14 06:07:41.382846+00:00,0.3333333333333333,False
49673081,Show HN: Yolov11n by C on Raspberry Pi 5,entertainment,5,0,kutekhoaisan,2026-09-14 06:07:42.919077+00:00,0.0,False
49678711,Show HN: Most Penalized HN Stories,entertainment,19,3,jwarden,2026-09-14 06:07:46.708149+00:00,0.15,False
49676728,Consumer Rights Wiki: 44 instances in which Sony says you own your games,entertainment,12,0,emptybits,2026-09-14 06:07:47.425659+00:00,0.0,False
49680395,"Influential people don't network, they build social capital",sports,10,0,AntonZ234,2026-09-14 06:07:48.859359+00:00,0.0,False
49652028,YuE2 · Frontier Music with Symbolic Planning,entertainment,108,100,sexy_seedbox,2026-09-14 06:08:03.708980+00:00,0.9174311926605505,False
49660833,I recently went through a translation of Musashi's Book of Five Rings,entertainment,12,1,tosh,2026-09-14 06:08:08.520625+00:00,0.07692307692307693,False
49665892,Show HN: Claude Read Aloud – Hear Claude's Replies Instead of Reading,entertainment,5,2,michaelgifford,2026-09-14 06:08:12.513912+00:00,0.3333333333333333,False
49621074,The Nonfiction Book Market is Collapsing?,entertainment,56,65,samclemens,2026-09-14 06:08:19.579954+00:00,1.1403508771929824,False
49678417,Vince Carter called out modern NBA players for checking social media at halftime,sports,5,0,hbcondo714,2026-09-14 06:08:27.259207+00:00,0.0,False
